"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"TSS";0.03;5;1;10;139;0.928092525114214;1.3536097165265;0.86137193195283;0.492237784573671;326;36.4
"aCDOM400";0.03;5;1;10;103;0.373589400488891;0.171241716976082;0.139572819929812;0.0316688970462697;395;18.5
"TSS";0.03;1;0.7;20;181;0.934688972372705;1.3536097165265;0.873647865434887;0.479961851091613;326;35.5
"aCDOM400";0.03;1;0.7;20;277;0.378523039643896;0.171241716976082;0.143285704711741;0.0279560122643407;395;16.3
"TSS";0.03;2;0.7;20;201;0.928242212928673;1.3536097165265;0.861669490476244;0.491940226050256;326;36.3
"aCDOM400";0.03;2;0.7;20;153;0.37472531984121;0.171241716976082;0.140425187406354;0.0308165295697276;395;18
"TSS";0.03;3;0.7;20;149;0.928904446746333;1.3536097165265;0.862897314622451;0.49071240190405;326;36.3
"aCDOM400";0.03;3;0.7;20;113;0.373409689710846;0.171241716976082;0.139438829739148;0.0318028872369331;395;18.6
"TSS";0.03;4;0.7;20;141;0.926781850780934;1.3536097165265;0.858962880297513;0.494646836228988;326;36.5
"aCDOM400";0.03;4;0.7;20;105;0.372944551354053;0.171241716976082;0.139091269762723;0.0321504472133585;395;18.8
"TSS";0.03;5;0.7;20;121;0.92613227934985;1.3536097165265;0.857771387068034;0.495838329458466;326;36.6
"aCDOM400";0.03;5;0.7;20;85;0.372662930383182;0.171241716976082;0.138881782853176;0.0323599341229058;395;18.9
"TSS";0.03;1;0.8;20;193;0.933515237449639;1.3536097165265;0.871457485448193;0.482152231078308;326;35.6
"aCDOM400";0.03;1;0.8;20;289;0.378362058097139;0.171241716976082;0.143167075510177;0.028074641465904;395;16.4
"TSS";0.03;2;0.8;20;141;0.925943529438187;1.3536097165265;0.857393461494506;0.496216255031994;326;36.7
"aCDOM400";0.03;2;0.8;20;181;0.37469878301075;0.171241716976082;0.14040682422243;0.0308348927536512;395;18
"TSS";0.03;3;0.8;20;129;0.927193038852597;1.3536097165265;0.859715019010677;0.493894697515823;326;36.5
"aCDOM400";0.03;3;0.8;20;129;0.373486018834425;0.171241716976082;0.139493718487879;0.0317479984882027;395;18.5
"TSS";0.03;4;0.8;20;121;0.92835290907687;1.3536097165265;0.861870268294376;0.491739448232125;326;36.3
"aCDOM400";0.03;4;0.8;20;97;0.37212102273576;0.171241716976082;0.138477879063383;0.032763837912698;395;19.1
"TSS";0.03;5;0.8;20;129;0.926894410810338;1.3536097165265;0.85919157393312;0.494418142593381;326;36.5
"aCDOM400";0.03;5;0.8;20;85;0.372251791877294;0.171241716976082;0.138577634402309;0.0326640825737724;395;19.1
"TSS";0.03;1;0.9;20;217;0.933581940936332;1.3536097165265;0.87159816046007;0.482011556066431;326;35.6
"aCDOM400";0.03;1;0.9;20;309;0.377763990092541;0.171241716976082;0.142715955111871;0.0285257618642107;395;16.7
"TSS";0.03;2;0.9;20;161;0.925634434722191;1.3536097165265;0.856817014303919;0.496792702222582;326;36.7
"aCDOM400";0.03;2;0.9;20;181;0.374228181256708;0.171241716976082;0.140053656915886;0.0311880600601953;395;18.2
"TSS";0.03;3;0.9;20;129;0.928637070405008;1.3536097165265;0.862390627453278;0.491219089073222;326;36.3
"aCDOM400";0.03;3;0.9;20;133;0.372933862361525;0.171241716976082;0.139083026891322;0.0321586900847597;395;18.8
"TSS";0.03;4;0.9;20;133;0.929250947771755;1.3536097165265;0.863531488732342;0.490078227794159;326;36.2
"aCDOM400";0.03;4;0.9;20;125;0.372409442506889;0.171241716976082;0.138692838025935;0.0325488789501467;395;19
"TSS";0.03;5;0.9;20;117;0.927059644864352;1.3536097165265;0.85947529653046;0.49413441999604;326;36.5
"aCDOM400";0.03;5;0.9;20;97;0.372947387507817;0.171241716976082;0.139095574400434;0.0321461425756475;395;18.8
"TSS";0.03;1;1;20;301;0.93005505944729;1.3536097165265;0.865026587106186;0.488583129420315;326;36.1
"aCDOM400";0.03;1;1;20;377;0.377875003433854;0.171241716976082;0.14280111539639;0.0284406015796913;395;16.6
"TSS";0.03;2;1;20;169;0.924602113047107;1.3536097165265;0.8549225855963;0.498687130930201;326;36.8
"aCDOM400";0.03;2;1;20;185;0.375292466911512;0.171241716976082;0.140853470666675;0.0303882463094062;395;17.7
"TSS";0.03;3;1;20;137;0.928250709621254;1.3536097165265;0.861670091750161;0.491939624776339;326;36.3
"aCDOM400";0.03;3;1;20;157;0.37290069751041;0.171241716976082;0.139058996996487;0.032182719979594;395;18.8
"TSS";0.03;4;1;20;157;0.927857857529145;1.3536097165265;0.860953540708811;0.49265617581769;326;36.4
"aCDOM400";0.03;4;1;20;121;0.373307338472484;0.171241716976082;0.139362944673586;0.031878772302495;395;18.6
"TSS";0.03;5;1;20;149;0.9282956041069;1.3536097165265;0.861750951032246;0.491858765494255;326;36.3
"aCDOM400";0.03;5;1;20;101;0.37371029321611;0.171241716976082;0.139663551806201;0.0315781651698805;395;18.4
"TSS";0.03;1;0.7;30;241;0.935605441792051;1.3536097165265;0.875370446116632;0.478239270409868;326;35.3
"aCDOM400";0.03;1;0.7;30;265;0.378594358570847;0.171241716976082;0.14334244296855;0.0278992740075311;395;16.3
"TSS";0.03;2;0.7;30;199;0.927045054301259;1.3536097165265;0.85944192230974;0.494167794216761;326;36.5
"aCDOM400";0.03;2;0.7;30;151;0.374710766875593;0.171241716976082;0.140415776993449;0.0308259399826321;395;18
"TSS";0.03;3;0.7;30;133;0.928921434509622;1.3536097165265;0.862920039554729;0.490689676971771;326;36.3
"aCDOM400";0.03;3;0.7;30;109;0.373429905448537;0.171241716976082;0.139457793702089;0.0317839232739921;395;18.6
"TSS";0.03;4;0.7;30;133;0.927036582735962;1.3536097165265;0.859417934521406;0.494191782005095;326;36.5
"aCDOM400";0.03;4;0.7;30;109;0.373239682993343;0.171241716976082;0.139310571967849;0.0319311450082327;395;18.6
"TSS";0.03;5;0.7;30;121;0.927687360209103;1.3536097165265;0.860630955773276;0.492978760753225;326;36.4
"aCDOM400";0.03;5;0.7;30;97;0.373638897319069;0.171241716976082;0.139608377934605;0.0316333390414765;395;18.5
"TSS";0.03;1;0.8;30;217;0.934847628962093;1.3536097165265;0.873954706761043;0.479655009765457;326;35.4
